Abura kiri
Allume-gaz
Allumette
Ahi ma'a
Autocuiseur
Bain-marie
Barbecue
Billig
Braisière
Brasero
Briquet
Caquelon
Casserole
Cassole
Cataplana
Chaudron
Chauffe-plat
Cocotte (faitout)
Couscoussier
Couvercle
Crémaillère
Crépière
Cuiseur de riz
Cuisinière
Cuisinière à gaz
Cuit vapeur
Daubière
Flamboir
Friteuse
Four
Four à vapeur
Four à pain
Gril
Grille-marrons
Grille-pain
Hotte
Jambonnière
Kanoun
Marguerite
Marmite
Marmite en fonteé
Micro-onde
Pierrade
Plancha
Planche (cuisine)
Plaque à induction
Plaque de chemine
Plaque électrique
Poële
Poële à poisson
Poëlon
Potager
Rondeau
Rôtissoire
Russe
Salamandre (cuisine)
Sauteuse
Sautoir
Table servante
Tandoor
Tchouchkopek
Terrine
Thermomètre de cuisson
Thermostat (four)
Tournebroche
Turbotière (ustensile)
Wok.
Batteur mixeur
Cellule de refroidissement
Centrifugeuse
Chauffe-assiette
Congélateur
Couteau électrique
Girafe
Hachoir
Machine à pain
Mixeur
Percolateur
Pétrin
Réfrigérateur
Robot de cuisine
Sorbetière
Canneleur
Ciseaux de cuisine
Coupe-frite
Coupe-oeuf
Coupe-oeuf à la coque
Couteau
Couteau à découper
Couteau à tomates
Couteau à viande
Couteau d'office
Couteau filet de sole
Couteau sashimi
Couteau scie
Couperet
Cuillère à pommes parisienne
Désosseur
Ecailleur
Eminceur
Filet de sole
Fusil (outil)
Hachoir à viande
Mandoline
Planche à découper
Râpe
Râpe à pommes de terre
Tranche-tomates
Zesteur
Corne
Coupe-pâte
Douille (pâtisserie)
Emporte-pièce (pâtisserie)
Maryse
Moule à gaufres
Moule à tarte
Pince à chiqueter
Pinceau
Poche à douilles
Rouleau à pâtisserie
Anti-monte-lait
Attendrisseur
Baguettes
Balance de cuisine
Casse-noix
Cassotte
Chinois
Cuillère en bois
Cuillère en métal
Cuillère à café
Cuillère à glace
Cuillère à soupe
Cul de poule
Cuvette
Décapsuleur
Douille
Ecumoire
Egouttoir
Entonnoir
Essoreuse à salade
Faisselle
Flacon
Fouet
Fourchette
Huilier
Kalou
Louche
Machine à pâtes
Mehraz
Mortier et pilon
Moule à fromage
Moule à baba
Moule à cake
Moule à madeleine
Moule à tourte
Moule à tourtière
Moulin à légumes
Moulin à poivre
Ouvre-boîtes
Panier à salade
Passe-vite
Passoire
Poubelle
Presse-agrumes
Presse-ail
Presse-purée
Presse à tortillas
Roulette à découper
Salière
Siphon
Spatule
Verre doseur
Vinaigrier
Grattoir
Minuterie
